keyword,rank,search_volume,cpc_aud,competition,etv,landing_url,previous_rank,change
functional patterns brisbane,1,880,0.7,0.05,267.52,/,3,0
posture workout,2,1000,0.47,0.13,162,/blog-page/posture-workouts-that-actually-work-a-complete-guide,,NEW
tensor fasciae latae muscle,9,6600,,0,99,/blog-page/why-is-my-tensor-fascia-lata-tfl-always-tight,10,-4
hyperextended knee,6,2400,0.02,0.01,81.12,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,14,+3
hyperextension of the knee,6,2400,0.02,0.01,81.12,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,58,+48
tensor fascia lata,8,3600,,0,70.92,/blog-page/why-is-my-tensor-fascia-lata-tfl-always-tight,12,+2
functional patterns,5,1300,2.28,0.03,60.97,/,,NEW
transverse abdominis,8,2900,,0,57.13,/blog-page/the-transverse-abdominis-tva-vs-the-superficial-abs-6-pack-why-its-crucial-to-know-the-difference,,NEW
transverse muscle,8,2900,,0,57.13,/blog-page/the-transverse-abdominis-tva-vs-the-superficial-abs-6-pack-why-its-crucial-to-know-the-difference,,NEW
hunchback kyphosis,13,8100,0.05,0,47.79,/blog-page/do-kyphosis-hunch-back-posture-correctors-really-work,,NEW
scapulars wings,8,2400,,0,47.28,/blog-page/why-your-scapulars-stick-out-winged-scapulars-the-thoracic-spine,,NEW
rounded shoulders,5,1000,0.41,0.09,46.9,/blog-page/why-your-rounded-shoulders-keep-coming-back-and-what-to-do-instead,17,+7
exercises neck hump,3,480,1.54,0.42,46.704,/blog-page/how-to-fix-neck-humps-a-biomechanical-approach,,NEW
how to heal bulging disc naturally,3,480,2.1,0.11,46.704,/blog-page/how-to-heal-a-bulging-disc-naturally,4,-1
natural hyperextended knee,1,140,,0,42.56,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,4,+1
naturally hyperextended knee,1,140,,0,42.56,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,2,0
naturally hyperextended knees,1,140,,0,42.56,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,2,0
how to fix shoulder blade winging,2,260,1.04,0,42.12,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,7,+3
how to fix winging shoulder blades,2,260,1.04,0,42.12,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,7,+1
discomfort lower back left side,7,1600,1.8,0.03,40.96,/blog-page/lower-back-ache-left-side-in-brisbane-causes-amp-when-its-mechanical,,NEW
tensor fasciae latae,13,6600,,0,38.94,/blog-page/why-is-my-tensor-fascia-lata-tfl-always-tight,20,0
buffalo hump vs dowager's hump,2,210,,0,34.02,/blog-page/buffalo-hump-vs-dowagers-hump-whats-the-difference,,NEW
posture workouts,6,1000,0.47,0.13,33.8,/blog-page/posture-workouts-that-actually-work-a-complete-guide,14,+4
tensor latae fasciae pain,5,720,1.23,0.01,33.768,/blog-page/why-is-my-tensor-fascia-lata-tfl-always-tight,39,+29
how to heal a bulging disc naturally,4,480,2.1,0.11,31.632,/blog-page/how-to-heal-a-bulging-disc-naturally,4,-4
neck hump exercises,4,480,1.54,0.42,31.632,/blog-page/how-to-get-rid-of-a-neck-hump,10,0
exercises for posture correction,6,880,0.43,0.2,29.744,/blog-page/posture-workouts-that-actually-work-a-complete-guide,,NEW
how to fix neck hump,5,590,0.79,0.61,27.671,/blog-page/how-to-fix-neck-humps-a-biomechanical-approach,,NEW
functional patterns debunked,1,90,,0,27.36,/blog-page/debunkingfunctionalpatterns,2,0
hyperextended knee exercises,1,90,,0.02,27.36,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,3,+1
hyperextension knee exercise,1,90,,0.02,27.36,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,3,0
hyperextension knee exercises,1,90,,0.02,27.36,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,4,+2
winged shoulder blades,10,2400,,0,27.12,/correct-winged-scapulas,,NEW
how to fix rounded shoulders,4,390,2.52,0.18,25.701,/blog-page/why-your-rounded-shoulders-keep-coming-back-and-what-to-do-instead,12,+4
fascia blaster,7,1000,0.66,1,25.6,/blog-page/why-i-stopped-fascia-blasting-amp-fascia-stretching,2,-8
exercises kyphosis,3,260,0.19,0.03,25.298,/blog-page/how-to-fix-a-kyphosis-and-lordosis-naturally,8,+2
how to fix scapular winging,3,260,1.04,0,25.298,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,7,0
how to fix winged scapula,3,260,1.04,0,25.298,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,7,+1
how to fix winging scapula,3,260,1.04,0,25.298,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,7,0
kyphosis workout,3,260,0.19,0.03,25.298,/blog-page/how-to-fix-a-kyphosis-and-lordosis-naturally,14,+7
rounded shoulders workout,3,260,0.02,0.03,25.298,/blog-page/why-your-rounded-shoulders-keep-coming-back-and-what-to-do-instead,15,+10
how to get rid of neck hump,6,720,1.41,0.58,24.336,/blog-page/how-to-fix-neck-humps-a-biomechanical-approach,,NEW
tensor fasciae latae muscle pain,6,720,1.23,0.01,24.336,/blog-page/why-is-my-tensor-fascia-lata-tfl-always-tight,18,+7
subscapularis,17,5400,,0,23.22,/blog-page/subscapularis-tendinosis-the-actual-cause-and-solution,29,+6
hip flexors hurt after running,2,140,,0.03,22.68,/blog-page/stop-hip-flexor-soreness-after-running-in-3-steps,7,+3
hip flexors sore after running,2,140,,0.03,22.68,/blog-page/stop-hip-flexor-soreness-after-running-in-3-steps,6,+3
hyperextended knee natural,2,140,,0,22.68,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,4,-1
sore hip flexor after running,2,140,,0.03,22.68,/blog-page/stop-hip-flexor-soreness-after-running-in-3-steps,7,+3
sore hip flexors after running,2,140,,0.03,22.68,/blog-page/stop-hip-flexor-soreness-after-running-in-3-steps,7,+3
improve posture workout,7,880,0.43,0.2,22.528,/blog-page/posture-workouts-that-actually-work-a-complete-guide,,NEW
hunchback back,15,4400,0.45,0.01,22.44,/hunchback-posture,,NEW
dehydrated fascia,1,70,,0,21.28,/blog-page/fascia-and-biomechanics-a-neuro-endocrine-organ,,NEW
superficial back line,1,70,,0,21.28,/blog-page/the-superficial-back-line,3,+1
how to fix hunch neck,6,590,0.79,0.61,19.942,/blog-page/how-to-fix-neck-humps-a-biomechanical-approach,,NEW
buffalo hump,8,1000,5.75,0,19.7,/blog-page/buffalo-hump-vs-dowagers-hump-whats-the-difference,,NEW
sore tensor fasciae latae,7,720,1.23,0.01,18.432,/blog-page/why-is-my-tensor-fascia-lata-tfl-always-tight,20,+8
dowager hump exercises,5,390,1.36,0.17,18.291,/blog-page/how-to-fix-neck-humps-a-biomechanical-approach,,NEW
winging scapular,12,2400,,0,18,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,17,-1
best posture workout,4,260,0.77,0.24,17.134,/blog-page/posture-workouts-that-actually-work-a-complete-guide,5,-3
exercises for rounded shoulders,4,260,0.02,0.03,17.134,/blog-page/why-your-rounded-shoulders-keep-coming-back-and-what-to-do-instead,19,+11
kyphosis exercises,4,260,0.19,0.03,17.134,/blog-page/how-to-fix-a-kyphosis-and-lordosis-naturally,10,+1
double jointed shoulder,3,170,,0,16.541,/blog-page/understanding-double-jointed-shoulders-and-chronic-pain,8,+3
double-jointed shoulder,3,170,,0,16.541,/blog-page/understanding-double-jointed-shoulders-and-chronic-pain,8,+3
why i stopped fascia blasting,1,50,,0,15.2,/blog-page/why-i-stopped-fascia-blasting-amp-fascia-stretching,2,0
how to fix a hunched neck,7,590,0.79,0.61,15.104,/blog-page/how-to-fix-neck-humps-a-biomechanical-approach,,NEW
functional training near me,5,320,2.83,0.5,15.008,/,52,+43
gyms woolloongabba,5,320,2.23,0.7,15.008,/blog-page/why-functional-patterns-is-the-best-gym-in-east-brisbane,15,+7
transverse abs,15,2900,,0,14.79,/blog-page/the-transverse-abdominis-tva-vs-the-superficial-abs-6-pack-why-its-crucial-to-know-the-difference,12,-8
exercises for knee hyperextension,2,90,,0.02,14.58,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,2,-1
knee hyperextension exercises,2,90,,0.02,14.58,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,4,+1
neck hump before and after,2,90,,0.02,14.58,/blog-page/how-to-fix-neck-humps-a-biomechanical-approach,12,+6
tensor fascia lata tightness,2,90,,0,14.58,/blog-page/why-is-my-tensor-fascia-lata-tfl-always-tight,5,+1
tfl tightness,2,90,,0,14.58,/blog-page/why-is-my-tensor-fascia-lata-tfl-always-tight,3,0
tight tensor fascia lata,2,90,,0,14.58,/blog-page/why-is-my-tensor-fascia-lata-tfl-always-tight,2,-3
functional patterns melbourne,8,720,2.17,0.07,14.184,/,13,+3
fascia lata muscle,23,6600,,0,13.86,/blog-page/why-is-my-tensor-fascia-lata-tfl-always-tight,18,-11
glutes activation,4,210,0.07,0.04,13.839,/blog-page/the-key-to-achieving-maximum-glute-activation,8,0
how to get rid of neck hump fast,4,210,0.77,0.95,13.839,/blog-page/how-to-fix-neck-humps-a-biomechanical-approach,,NEW
running with hip flexor pain,3,140,1.91,0.02,13.622,/blog-page/stop-hip-flexor-soreness-after-running-in-3-steps,12,+8
scapula winging,14,2400,,0,13.44,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,18,-2
winging of scapula,14,2400,,0,13.44,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,17,-2
winging of scapular,14,2400,,0,13.44,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,20,+2
exercises for piriformis syndrome,9,880,0.33,0.04,13.2,/blog-page/piriformis-syndrome-exercises-that-actually-work,,NEW
dowager's hump exercise,6,390,1.36,0.17,13.182,/blog-page/how-to-get-rid-of-a-neck-hump,15,+3
how to relieve upper back pain fast,6,390,1.78,0.24,13.182,/blog-page/how-to-relieve-upper-back-pain-fast-without-stretching,7,-3
subscapularis muscle,21,5400,,0,12.42,/blog-page/subscapularis-tendinosis-the-actual-cause-and-solution,,NEW
knee hyperextension,15,2400,0.02,0.01,12.24,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,8,-12
coning,5,260,,0,12.194,/diastasis-recti-coning,10,+3
exercises for kyphosis,5,260,0.19,0.03,12.194,/blog-page/how-to-fix-a-kyphosis-and-lordosis-naturally,10,0
exercises good posture,5,260,0.77,0.24,12.194,/blog-page/posture-workouts-that-actually-work-a-complete-guide,,NEW
dowager's hump,12,1600,2.21,0.05,12,/blog-page/buffalo-hump-vs-dowagers-hump-whats-the-difference,,NEW
glute max activation exercises,8,590,0.35,0.03,11.623,/blog-page/the-key-to-achieving-maximum-glute-activation,31,+20
shoulder back,2,70,1.32,0.72,11.34,/blog-page/does-pulling-your-shoulder-back-make-your-posture-better-or-worse,5,0
subscapularis muscles,25,5400,,0,11.34,/blog-page/subscapularis-tendinosis-the-actual-cause-and-solution,,NEW
double jointed shoulders,4,170,,0,11.203,/blog-page/understanding-double-jointed-shoulders-and-chronic-pain,10,+3
dowager's hump before and after,4,170,,0.02,11.203,/blog-page/how-to-fix-neck-humps-a-biomechanical-approach,10,+2
tva muscle,4,170,,0,11.203,/blog-page/the-transverse-abdominis-tva-vs-the-superficial-abs-6-pack-why-its-crucial-to-know-the-difference,6,-1
exercises for winged scapula,6,320,,0.01,10.816,/correct-winged-scapulas,,NEW
back line,3,110,0.35,0.07,10.703,/blog-page/the-superficial-back-line,12,+5
fix rounded shoulders,3,110,1.28,0.57,10.703,/blog-page/why-your-rounded-shoulders-keep-coming-back-and-what-to-do-instead,12,+4
winging shoulder blade,17,2400,,0,10.32,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,49,+26
exercises dowager's hump,7,390,1.36,0.17,9.984,/blog-page/how-to-get-rid-of-a-neck-hump,10,-1
sore lower back from walking,7,390,1.9,0.03,9.984,/blog-page/read-this-if-your-lower-back-hurts-when-walking-or-standing,,NEW
walking hurts lower back,7,390,1.9,0.03,9.984,/blog-page/read-this-if-your-lower-back-hurts-when-walking-or-standing,19,+8
exercises lordosis,5,210,,0.01,9.849,/blog-page/how-to-fix-a-kyphosis-and-lordosis-naturally,37,+30
hump on back of neck,8,480,1.31,0.04,9.456,/blog-page/how-to-fix-neck-humps-a-biomechanical-approach,21,+7
exercises for hypermobile joints,4,140,,0.01,9.226,/blog-page/what-are-hypermobile-joints-hypermobility-exercises-to-help,6,+1
hip flexor pain running,4,140,1.91,0.02,9.226,/blog-page/stop-hip-flexor-soreness-after-running-in-3-steps,9,+2
how to fix lordosis,4,140,,0.05,9.226,/blog-page/how-to-fix-a-kyphosis-and-lordosis-naturally,10,+2
running pain hip flexor,4,140,1.91,0.02,9.226,/blog-page/stop-hip-flexor-soreness-after-running-in-3-steps,8,+1
best posture exercises,6,260,0.77,0.24,8.788,/blog-page/posture-workouts-that-actually-work-a-complete-guide,,NEW
fascia blaster australia,3,90,0.56,1,8.757,/blog-page/why-i-stopped-fascia-blasting-amp-fascia-stretching,6,+1
fascia blasting australia,3,90,0.56,1,8.757,/blog-page/why-i-stopped-fascia-blasting-amp-fascia-stretching,3,-1
tight tfl,3,90,,0,8.757,/blog-page/why-is-my-tensor-fascia-lata-tfl-always-tight,2,-4
shoulder blade winging exercises,7,320,,0.01,8.192,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,20,+8
how to fix hyperextended knee,2,50,,0.07,8.1,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,6,0
how to fix hyperextended knees,2,50,,0.07,8.1,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,4,0
how to fix knee hyperextension,2,50,,0.07,8.1,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,6,+1
kyphosis lordosis posture,2,50,,0,8.1,/blog-page/how-to-fix-a-kyphosis-and-lordosis-naturally,19,+15
severe rounded shoulders,2,50,,0,8.1,/blog-page/why-your-rounded-shoulders-keep-coming-back-and-what-to-do-instead,5,0
double jointed in shoulder,5,170,,0,7.973,/blog-page/understanding-double-jointed-shoulders-and-chronic-pain,8,-1
winging scapula,18,2400,,0,7.92,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,22,-2
why do my shoulder blades stick out,4,110,,0,7.249,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,,NEW
activate glute,6,210,0.07,0.04,7.098,/blog-page/the-key-to-achieving-maximum-glute-activation,8,-3
back brace for hunchback,6,210,0.84,1,7.098,/blog-page/do-kyphosis-hunch-back-posture-correctors-really-work,16,+8
buffalo hump on neck,6,210,,0.01,7.098,/blog-page/buffalo-hump-vs-dowagers-hump-whats-the-difference,,NEW
lordosis exercises,6,210,,0.01,7.098,/blog-page/how-to-fix-a-kyphosis-and-lordosis-naturally,11,+1
best workouts for better posture,3,70,1.67,0.2,6.811,/blog-page/posture-workouts-that-actually-work-a-complete-guide,,NEW
scapular winging fix,3,70,,0.01,6.811,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,6,0
shoulders back,3,70,1.32,0.72,6.811,/blog-page/does-pulling-your-shoulder-back-make-your-posture-better-or-worse,8,0
winged scapula fix,3,70,,0.01,6.811,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,7,0
winging scapula fix,3,70,,0.01,6.811,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,7,-1
rounded shoulder exercises,7,260,0.02,0.03,6.656,/blog-page/why-your-rounded-shoulders-keep-coming-back-and-what-to-do-instead,25,+13
hunchback posture,5,140,,0.27,6.566,/hunchback-posture,,NEW
hunched back posture,5,140,,0.27,6.566,/blog-page/do-kyphosis-hunch-back-posture-correctors-really-work,15,+5
hypermobile joints exercises,5,140,,0.01,6.566,/blog-page/what-are-hypermobile-joints-hypermobility-exercises-to-help,8,-1
over extension knee,5,140,,0.01,6.566,/blog-page/exercises-for-hyperextended-knees-a-guide-to-strength,9,-1
rounded shoulders exercises,5,140,,0.01,6.566,/blog-page/why-your-rounded-shoulders-keep-coming-back-and-what-to-do-instead,15,+5
tech neck hump,5,140,0.81,0.57,6.566,/blog-page/how-to-get-rid-of-a-neck-hump,,NEW
exercises for scapular winging,8,320,,0.01,6.304,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,12,-1
scapular winging exercises,8,320,,0.01,6.304,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,11,-1
winged scapula exercises,8,320,,0.01,6.304,/blog-page/how-to-fix-scapular-winging-typical-exercises-dont-work,14,0
ta muscle,47,2900,,0,6.09,/blog-page/the-transverse-abdominis-tva-vs-the-superficial-abs-6-pack-why-its-crucial-to-know-the-difference,78,+20
fascia blaster tool,4,90,0.68,1,5.931,/blog-page/why-i-stopped-fascia-blasting-amp-fascia-stretching,6,0
fascia blasting tools,4,90,0.68,1,5.931,/blog-page/why-i-stopped-fascia-blasting-amp-fascia-stretching,4,-1
do posture correctors work,10,480,1.29,0.79,5.424,/blog-page/do-kyphosis-hunch-back-posture-correctors-really-work,43,+29
tensor fasciae latae pain,12,720,1.23,0.01,5.4,/blog-page/why-is-my-tensor-fascia-lata-tfl-always-tight,12,-6
buffalo hump neck,7,210,,0.01,5.376,/blog-page/buffalo-hump-vs-dowagers-hump-whats-the-difference,,NEW
buffalo neck hump,7,210,,0.01,5.376,/blog-page/buffalo-hump-vs-dowagers-hump-whats-the-difference,,NEW
kyphosis lordosis,7,210,,0,5.376,/blog-page/how-to-fix-a-kyphosis-and-lordosis-naturally,11,+1
running gait analysis,7,210,3.36,0.14,5.376,/blog-page/running-gait-analysis-in-brisbane-get-to-the-root-of-your-injuries-and-inefficiencies,68,+57
get rid neck hump,5,110,0.62,0.89,5.159,/blog-page/how-to-get-rid-of-a-neck-hump,9,0
hypermobility shoulders,8,260,,0,5.122,/blog-page/understanding-double-jointed-shoulders-and-chronic-pain,14,+2
